season,player_id,player_name,matches,minutes_total,minutes_avg,rating_avg,starts,sub_apps
2024,182617,Beñat Prados,5,301.0,60.2,6.7,4,1
2024,182621,Iker Muñoz,2,49.0,24.5,6.7,1,1
2024,182636,Javi López,5,379.0,75.8,6.4799999999999995,4,1
2024,182674,Jofre Carreras,5,255.0,51.0,6.7,3,2
2024,182694,Iván Gil,4,0.0,,,0,4
2024,182718,Joan García,5,450.0,90.0,7.26,5,0
2024,182730,Marc Vidal,3,0.0,,,0,3
2024,182735,Angel Fortuno,5,0.0,,,0,5
2024,182772,Juanlu Sánchez,5,264.0,52.8,6.38,3,2
2024,183699,Urko González,3,45.0,45.0,6.2,1,2
2024,183744,Beñat Turrientes,6,310.0,51.666666666666664,6.883333333333333,4,2
2024,183751,Abderrahman Rebbach,4,70.0,70.0,6.5,1,3
2024,183799,Nico Williams,5,301.0,60.2,6.859999999999999,3,2
2024,183848,Julen Agirrezabala,4,270.0,90.0,6.933333333333334,3,1
2024,183849,Aitor Paredes,3,171.0,85.5,7.1,2,1
2024,184226,Yéremy Pino,5,242.0,48.4,6.94,3,2
2024,184420,Carlos Romero,5,416.0,83.2,6.9,5,0
2024,184481,Diego Garcia,5,100.0,33.333333333333336,6.800000000000001,1,4
2024,185202,Juan Cruz,5,247.0,49.4,7.06,3,2
2024,185398,Isaac Romero,5,367.0,73.4,6.82,4,1
2024,185477,Rodri Sánchez,3,117.0,39.0,6.733333333333333,1,2
2024,187214,Carlos Vicente,5,439.0,87.8,7.24,5,0
2024,187987,Ramón Terrats,5,35.0,11.666666666666666,6.3,0,5
2024,189831,Egoitz Arana,2,0.0,,,0,2
2024,189832,Unai Marrero,6,0.0,,,0,6
2024,190485,Samuel Costa,6,538.0,89.66666666666667,7.05,6,0
2024,190489,Álvaro Djaló,3,84.0,42.0,6.4,1,2
2024,195100,Natan,3,189.0,63.0,6.733333333333333,2,1
2024,195923,José Ángel Carmona,5,442.0,88.4,7.1,5,0
2024,195962,Chiquinho,2,0.0,,,0,2
2024,199044,Jon Aramburu,6,180.0,45.0,6.275,2,4
2024,263530,Pau Víctor,5,35.0,8.75,6.95,0,5
2024,263812,Luka Romero,5,95.0,31.666666666666668,6.566666666666666,1,4
2024,264470,Raúl Moro,5,336.0,67.2,7.0,3,2
2024,269163,Williot Swedberg,5,189.0,37.8,6.959999999999999,2,3
2024,270498,Warren Madrigal,1,0.0,,,0,1
2024,270516,Peter González,4,91.0,22.75,6.425,0,4
2024,270973,Lucas Alcazar,2,0.0,,,0,2
2024,270973,Lucas Alcázar,1,0.0,,,0,1
2024,278619,Luiz Júnior,4,0.0,,,0,4
2024,279822,Flavien Boyomo,5,450.0,90.0,7.040000000000001,5,0
2024,281795,Yáser Asprilla,3,84.0,28.0,6.7,0,3
2024,283668,Arnau Martínez,5,201.0,50.25,6.75,2,3
2024,285909,Pablo Torre,5,9.0,9.0,6.3,0,5
2024,286084,Sergi Altimira,4,77.0,38.5,7.050000000000001,0,4
2024,286559,Carlos Domínguez,4,225.0,75.0,6.933333333333334,3,1
2024,286593,Nico Serrano,2,0.0,,,0,2
2024,286601,Omar El Hilali,5,447.0,89.4,6.779999999999999,5,0
2024,286639,Bryan Zaragoza,5,335.0,67.0,6.82,4,1
2024,286795,César Fernández,3,0.0,,,0,3
2024,286796,Damián Rodríguez,5,336.0,67.2,6.779999999999999,3,2
2024,287652,Jon Magunazelaia,5,0.0,,,0,5
2024,288074,Alberto Mari,3,12.0,12.0,6.3,0,3
2024,288112,Willy Kambwala,3,90.0,90.0,7.2,1,2
2024,288525,Malcom Ares,3,18.0,18.0,6.3,0,3
2024,288800,Iker Benito,5,35.0,17.5,6.3,0,5
2024,290106,Pablo Marín,6,51.0,17.0,6.633333333333333,0,6
2024,290740,Ilias Akhomach,5,200.0,50.0,6.675,2,3
2024,291964,Arda Güler,5,181.0,45.25,7.125,2,3
2024,292219,Stipe Biuk,1,0.0,,,0,1
2024,293297,John Finn,2,22.0,11.0,6.65,0,2
2024,295383,Adrián,5,90.0,90.0,6.9,1,4
2024,297311,Kike Salas,5,102.0,34.0,6.633333333333333,1,4
2024,297646,Daniel Luna,6,0.0,,,0,6
2024,297742,Antoniu Roca,5,36.0,18.0,6.65,0,5
2024,298064,David Torres,5,8.0,8.0,6.7,0,5
2024,302051,Seydouba Cisse,5,283.0,56.6,6.92,3,2
2024,303115,Etienne Eto'o Pineda,2,0.0,,,0,2
2024,303378,Javier Serrano,1,0.0,,,0,1
2024,304383,Tadeo Allende,1,0.0,,,0,1
2024,306727,Jhon Solís,5,190.0,47.5,6.475,1,4
2024,308346,Alberto Flores,3,0.0,,,0,3
2024,308678,Dário Essugo,1,0.0,,,0,1
2024,309364,Coba Gomes Da Costa,2,0.0,,,0,2
2024,311344,Alejo Véliz,5,371.0,74.2,6.82,5,0
2024,311773,Santiago Mouriño,3,26.0,26.0,7.2,0,3
2024,312468,Alex Padilla,5,180.0,90.0,6.7,2,3
2024,313196,Joao Urbáez,1,0.0,,,0,1
2024,313562,Eneko Ortiz,1,0.0,,,0,1
2024,313651,Hugo Sotelo,5,83.0,41.5,6.55,1,4
2024,315604,Alejandro Iturbe,1,0.0,,,0,1
2024,315699,Javier Guerra,5,242.0,48.4,6.540000000000001,3,2
2024,319572,Valentín Barco,2,100.0,50.0,6.75,1,1
2024,320517,Pablo Durán,5,85.0,42.5,6.6,1,4
2024,323935,Giuliano Simeone,5,27.0,13.5,6.75,0,5
2024,324750,Carlos Martín,4,55.0,27.5,6.4,0,4
2024,325415,Nabil Aberdin,3,224.0,74.66666666666667,6.933333333333334,3,0
2024,327495,Alvin,4,0.0,,,0,4
2024,327496,Rodrigo Abajas,4,0.0,,,0,4
2024,329720,Hugo Álvarez,5,392.0,78.4,6.9,4,1
2024,329725,Arnau Rafús,1,0.0,,,0,1
2024,329728,Marc Casadó,5,241.0,80.33333333333333,7.1000000000000005,3,2
2024,331004,Ivan Cantalejo,5,87.0,21.75,6.3,1,4
2024,331330,Matías Árbol,1,0.0,,,0,1
2024,332302,Oier Gastesi,2,0.0,,,0,2
2024,332304,Raúl Chasco,4,0.0,,,0,4
2024,332305,Unai Eguíluz,3,0.0,,,0,3
2024,332308,Unai Gómez,5,107.0,21.4,6.659999999999999,0,5
2024,333292,Pelayo Fernández,4,0.0,,,0,4
2024,333373,Gorka Rivera,2,19.0,19.0,6.3,0,2
2024,333379,Antonio Gomis,5,0.0,,,0,5
2024,333447,Raúl Martínez,1,0.0,,,0,1
2024,333672,César Tárrega,5,270.0,90.0,6.6000000000000005,3,2
2024,333682,Cristhian Mosquera,5,450.0,90.0,6.62,5,0
2024,335034,Pablo Rivera,1,0.0,,,0,1
2024,336560,Alex Valle,2,0.0,,,0,2
2024,336594,Pablo Barrios,4,315.0,78.75,7.25,3,1
2024,336637,Antonio Espigares,1,0.0,,,0,1
2024,336653,Ander Astralaga,4,0.0,,,0,4
2024,336674,Gabriel Misehouy,5,20.0,20.0,7.3,0,5
2024,336998,Adama Boiro,5,79.0,79.0,7.2,1,4
2024,337843,Aitor Fraga,1,0.0,,,0,1
2024,337955,Lalo Aguilar,1,0.0,,,0,1
2024,338508,Ilias Kostis,2,0.0,,,0,2
2024,339105,Joel Roca,1,0.0,,,0,1
2024,340152,Stanis Idumbo Muzambo,5,8.0,8.0,6.9,0,5
2024,340154,Arthur Vermeeren,1,0.0,,,0,1
2024,340279,Vitor Roque,2,61.0,30.5,6.6,0,2
2024,340626,Fermín López,3,67.0,22.333333333333332,6.533333333333334,0,3
2024,343205,Mario Martin,4,128.0,42.666666666666664,6.266666666666667,1,3
2024,343684,Thierno Barry,4,236.0,59.0,6.7,2,2
2024,348029,Dimitrios Stamatakis,3,0.0,,,0,3
2024,348326,Martín Tejón,5,45.0,11.25,6.449999999999999,0,5
2024,352859,Guillem Trilla,1,0.0,,,0,1
2024,355327,Jose Luis Catala,1,0.0,,,0,1
2024,360411,Alberto Collado,2,0.0,,,0,2
2024,361385,Yarek Gasiorowski,5,180.0,90.0,6.9,2,3
2024,361386,Koke,4,0.0,,,0,4
2024,364415,Yellu Santiago,4,63.0,15.75,6.475,0,4
2024,377122,Endrick,5,29.0,7.25,6.8,0,5
2024,378284,Etta Eyong,1,0.0,,,0,1
2024,383647,Diego Kochen,1,0.0,,,0,1
2024,383780,Mikel Jauregizar,5,199.0,49.75,6.55,2,3
2024,384135,Javi Rodríguez,5,299.0,74.75,6.775,3,2
2024,384273,Julen Lartitegi,1,0.0,,,0,1
2024,385389,Alex Gil,1,0.0,,,0,1
2024,386305,Jacobo Naveros,4,0.0,,,0,4
2024,386828,Lamine Yamal,5,443.0,88.6,8.2,5,0
2024,386859,Hector Fort,5,29.0,29.0,6.5,0,5
2024,386872,Sergio Mestre,1,0.0,,,0,1
2024,388032,Carlos Guirao,1,0.0,,,0,1
2024,388871,Chema Andrés,1,0.0,,,0,1
2024,389602,Iker Almena,2,46.0,23.0,6.9,0,2
2024,390742,Joaquin Panichelli,1,0.0,,,0,1
2024,391131,Jose Requena,1,0.0,,,0,1
2024,396475,Fran Gonzalez,4,0.0,,,0,4
2024,396623,Pau Cubarsí,5,366.0,73.2,6.92,5,0
2024,396624,Sergi Domínguez,5,29.0,29.0,6.6,0,5
2024,400948,Assane Diao,4,80.0,40.0,6.55,1,3
2024,403554,Christantus Uche,4,353.0,88.25,6.875,4,0
2024,405073,Jon Martin,6,90.0,45.0,6.7,0,6
2024,406266,Ali Fadal,1,0.0,,,0,1
2024,411424,Jan Salas,2,0.0,,,0,2
2024,411702,Pau Cabanes De La Torre,1,0.0,,,0,1
2024,412737,Raúl Jiménez Latorre,4,0.0,,,0,4
2024,419912,Omar Sadik,1,0.0,,,0,1
2024,431890,Juanma Herzog,5,0.0,,,0,5
2024,433396,Marc Bernal,3,244.0,81.33333333333333,7.066666666666666,3,0
2024,435552,Pau Navarro,5,0.0,,,0,5
2024,438284,Rafael Bauza,4,0.0,,,0,4
