fixture_id,team_id,team_name,ball_possession,blocked_shots,corner_kicks,fouls,goalkeeper_saves,offsides,passes_pct,passes_accurate,red_cards,shots_insidebox,shots_off_goal,shots_on_goal,shots_outsidebox,total_shots,total_passes,yellow_cards,expected_goals,goals_prevented
1208525,534,Las Palmas,71.0,1.0,5.0,9.0,3.0,0.0,87.0,524.0,,7.0,5.0,6.0,5.0,12.0,603.0,0.0,0.62,0.0
1208525,542,Alaves,29.0,4.0,6.0,13.0,6.0,1.0,70.0,167.0,,9.0,6.0,5.0,6.0,15.0,239.0,3.0,2.04,0.0
1208526,537,Leganes,54.0,1.0,1.0,11.0,2.0,3.0,83.0,391.0,,5.0,6.0,2.0,4.0,9.0,473.0,1.0,0.34,0.0
1208526,798,Mallorca,46.0,4.0,3.0,17.0,2.0,0.0,79.0,317.0,,9.0,5.0,3.0,3.0,12.0,400.0,3.0,0.98,0.0
1208527,541,Real Madrid,60.0,9.0,7.0,9.0,2.0,1.0,90.0,546.0,,18.0,6.0,7.0,4.0,22.0,608.0,2.0,2.45,0.0
1208527,543,Real Betis,40.0,6.0,3.0,17.0,5.0,2.0,84.0,353.0,,8.0,3.0,2.0,3.0,11.0,421.0,0.0,0.51,0.0
1208528,538,Celta Vigo,50.0,4.0,3.0,10.0,1.0,3.0,83.0,381.0,1.0,5.0,4.0,4.0,7.0,12.0,460.0,0.0,1.66,-1.0
1208528,727,Osasuna,50.0,5.0,6.0,19.0,3.0,3.0,83.0,376.0,0.0,7.0,2.0,3.0,3.0,10.0,451.0,2.0,0.89,-1.0
1208529,536,Sevilla,49.0,5.0,7.0,6.0,2.0,4.0,85.0,366.0,,8.0,6.0,5.0,8.0,16.0,433.0,3.0,0.97,0.0
1208529,547,Girona,51.0,2.0,5.0,14.0,5.0,0.0,89.0,384.0,,9.0,5.0,4.0,2.0,11.0,433.0,2.0,1.94,0.0
1208530,530,Atletico Madrid,53.0,1.0,7.0,10.0,1.0,1.0,85.0,438.0,,14.0,9.0,4.0,0.0,14.0,515.0,1.0,3.24,0.0
1208530,532,Valencia,47.0,1.0,3.0,8.0,1.0,2.0,83.0,385.0,,2.0,3.0,1.0,3.0,5.0,465.0,2.0,0.15,0.0
1208531,537,Leganes,36.0,1.0,1.0,18.0,3.0,1.0,75.0,263.0,,1.0,2.0,0.0,2.0,3.0,352.0,2.0,0.1,0.0
1208531,543,Real Betis,64.0,3.0,11.0,11.0,0.0,2.0,87.0,533.0,,10.0,6.0,5.0,4.0,14.0,611.0,1.0,2.12,0.0
1208532,538,Celta Vigo,54.0,4.0,5.0,14.0,1.0,3.0,87.0,419.0,0.0,12.0,1.0,9.0,2.0,14.0,484.0,3.0,1.84,0.0
1208532,720,Valladolid,46.0,2.0,3.0,15.0,6.0,1.0,85.0,344.0,1.0,5.0,2.0,2.0,1.0,6.0,406.0,5.0,0.51,0.0
1208533,533,Villarreal,46.0,8.0,6.0,10.0,4.0,1.0,81.0,313.0,0.0,12.0,9.0,4.0,9.0,21.0,385.0,3.0,1.77,0.0
1208533,798,Mallorca,54.0,2.0,7.0,11.0,2.0,2.0,81.0,356.0,1.0,7.0,3.0,4.0,2.0,9.0,439.0,3.0,0.35,0.0
1208534,531,Athletic Club,35.0,0.0,3.0,12.0,3.0,1.0,69.0,231.0,1.0,6.0,5.0,4.0,3.0,9.0,334.0,2.0,2.24,0.0
1208534,534,Las Palmas,65.0,5.0,9.0,8.0,1.0,0.0,83.0,498.0,0.0,9.0,4.0,6.0,6.0,15.0,599.0,1.0,1.16,0.0
1208535,529,Barcelona,55.0,2.0,6.0,4.0,3.0,0.0,87.0,414.0,1.0,13.0,9.0,9.0,7.0,20.0,476.0,2.0,1.82,0.0
1208535,547,Girona,45.0,2.0,1.0,13.0,5.0,7.0,88.0,343.0,0.0,7.0,3.0,4.0,2.0,9.0,392.0,3.0,1.35,0.0
1208536,536,Sevilla,61.0,2.0,3.0,19.0,4.0,1.0,79.0,351.0,1.0,8.0,4.0,4.0,2.0,10.0,442.0,3.0,1.41,0.0
1208536,546,Getafe,39.0,5.0,4.0,15.0,3.0,2.0,70.0,186.0,0.0,6.0,6.0,4.0,9.0,15.0,266.0,4.0,0.99,0.0
1208537,727,Osasuna,34.0,0.0,4.0,15.0,3.0,0.0,58.0,146.0,,4.0,3.0,2.0,1.0,5.0,250.0,2.0,0.33,-1.0
1208537,728,Rayo Vallecano,66.0,3.0,7.0,12.0,1.0,3.0,80.0,386.0,,11.0,8.0,6.0,6.0,17.0,485.0,3.0,1.68,-1.0
1208538,541,Real Madrid,52.0,8.0,6.0,9.0,2.0,1.0,88.0,437.0,,10.0,2.0,6.0,6.0,16.0,494.0,1.0,2.38,0.0
1208538,548,Real Sociedad,48.0,4.0,6.0,12.0,4.0,2.0,87.0,393.0,,7.0,5.0,2.0,4.0,11.0,453.0,4.0,1.07,0.0
1208550,548,Real Sociedad,60.0,2.0,5.0,10.0,3.0,1.0,83.0,448.0,,6.0,6.0,5.0,7.0,13.0,537.0,1.0,0.59,0.0
1208550,798,Mallorca,40.0,1.0,5.0,5.0,5.0,3.0,77.0,280.0,,8.0,5.0,4.0,2.0,10.0,364.0,1.0,1.19,0.0
1212910,540,Espanyol,55.0,3.0,2.0,8.0,0.0,1.0,81.0,390.0,,5.0,5.0,2.0,5.0,10.0,479.0,2.0,0.66,-0.86
1212910,720,Valladolid,45.0,5.0,3.0,15.0,2.0,6.0,82.0,319.0,,7.0,6.0,1.0,5.0,12.0,387.0,2.0,0.8,-0.86
1212911,540,Espanyol,34.0,4.0,7.0,14.0,2.0,1.0,74.0,192.0,,11.0,5.0,4.0,2.0,13.0,259.0,2.0,1.3,0.2
1212911,548,Real Sociedad,66.0,2.0,4.0,18.0,3.0,2.0,88.0,461.0,,4.0,3.0,3.0,4.0,8.0,522.0,2.0,0.63,0.2
1212912,530,Atletico Madrid,62.0,8.0,9.0,6.0,1.0,6.0,88.0,523.0,,18.0,10.0,7.0,7.0,25.0,595.0,0.0,2.47,1.0
1212912,540,Espanyol,38.0,0.0,3.0,9.0,7.0,0.0,80.0,289.0,,4.0,7.0,1.0,4.0,8.0,362.0,2.0,0.61,1.0
1212913,540,Espanyol,47.0,3.0,3.0,14.0,4.0,0.0,78.0,276.0,,7.0,4.0,3.0,3.0,10.0,355.0,3.0,1.73,0.0
1212913,728,Rayo Vallecano,53.0,5.0,7.0,16.0,1.0,2.0,82.0,318.0,,9.0,7.0,5.0,8.0,17.0,390.0,2.0,1.35,0.0
1212914,540,Espanyol,38.0,1.0,0.0,17.0,4.0,3.0,76.0,202.0,,7.0,4.0,4.0,2.0,9.0,266.0,2.0,1.56,0.0
1212914,542,Alaves,62.0,6.0,5.0,14.0,1.0,0.0,78.0,335.0,,16.0,7.0,6.0,3.0,19.0,429.0,3.0,2.26,0.0
