fixture_id,team_id,team_name,formation,coach_id,coach_name,player_id,player_name,player_number,player_pos,player_grid,is_starter,ingestion_date,source_file
1208516,534,Las Palmas,4-1-4-1,49,Luis Carrión,44811,S. McKenna,15,D,2:2,True,2026-05-04,raw/api_football/fixture_lineups/2026-04-29/fixture_1208516_lineups.json
1208516,534,Las Palmas,4-1-4-1,49,Luis Carrión,162475,Mika Mármol,3,D,2:1,True,2026-05-04,raw/api_football/fixture_lineups/2026-04-29/fixture_1208516_lineups.json
1208516,534,Las Palmas,4-1-4-1,49,Luis Carrión,47464,José Campaña,8,M,3:1,True,2026-05-04,raw/api_football/fixture_lineups/2026-04-29/fixture_1208516_lineups.json
1208516,534,Las Palmas,4-1-4-1,49,Luis Carrión,47324,Sandro Ramírez,19,M,4:4,True,2026-05-04,raw/api_football/fixture_lineups/2026-04-29/fixture_1208516_lineups.json
1208516,534,Las Palmas,4-1-4-1,49,Luis Carrión,46860,Javi Muñoz,5,M,4:3,True,2026-05-04,raw/api_football/fixture_lineups/2026-04-29/fixture_1208516_lineups.json
1208516,534,Las Palmas,4-1-4-1,49,Luis Carrión,70315,Kirian Rodríguez,20,M,4:2,True,2026-05-04,raw/api_football/fixture_lineups/2026-04-29/fixture_1208516_lineups.json
1208516,534,Las Palmas,4-1-4-1,49,Luis Carrión,182519,Alberto Moleiro,10,M,4:1,True,2026-05-04,raw/api_football/fixture_lineups/2026-04-29/fixture_1208516_lineups.json
1208516,534,Las Palmas,4-1-4-1,49,Luis Carrión,19337,O. McBurnie,16,F,5:1,True,2026-05-04,raw/api_football/fixture_lineups/2026-04-29/fixture_1208516_lineups.json
1208516,534,Las Palmas,4-1-4-1,49,Luis Carrión,47111,Benito Ramírez,11,M,,False,2026-05-04,raw/api_football/fixture_lineups/2026-04-29/fixture_1208516_lineups.json
1208516,534,Las Palmas,4-1-4-1,49,Luis Carrión,46854,Viti Rozada,18,M,,False,2026-05-04,raw/api_football/fixture_lineups/2026-04-29/fixture_1208516_lineups.json
1208516,534,Las Palmas,4-1-4-1,49,Luis Carrión,2671,Jaime Mata,17,F,,False,2026-05-04,raw/api_football/fixture_lineups/2026-04-29/fixture_1208516_lineups.json
1208516,534,Las Palmas,4-1-4-1,49,Luis Carrión,21709,E. Loiodice,12,M,,False,2026-05-04,raw/api_football/fixture_lineups/2026-04-29/fixture_1208516_lineups.json
1208516,534,Las Palmas,4-1-4-1,49,Luis Carrión,122230,Manu Fuster,14,M,,False,2026-05-04,raw/api_football/fixture_lineups/2026-04-29/fixture_1208516_lineups.json
1208516,534,Las Palmas,4-1-4-1,49,Luis Carrión,47052,Álex Muñoz,23,D,,False,2026-05-04,raw/api_football/fixture_lineups/2026-04-29/fixture_1208516_lineups.json
1208516,534,Las Palmas,4-1-4-1,49,Luis Carrión,440748,Álvaro Killane,30,G,,False,2026-05-04,raw/api_football/fixture_lineups/2026-04-29/fixture_1208516_lineups.json
1208516,534,Las Palmas,4-1-4-1,49,Luis Carrión,47393,Marc Cardona,9,F,,False,2026-05-04,raw/api_football/fixture_lineups/2026-04-29/fixture_1208516_lineups.json
1208516,534,Las Palmas,4-1-4-1,49,Luis Carrión,431890,Juanma Herzog,28,D,,False,2026-05-04,raw/api_football/fixture_lineups/2026-04-29/fixture_1208516_lineups.json
1208516,534,Las Palmas,4-1-4-1,49,Luis Carrión,47004,Fabio González,6,M,,False,2026-05-04,raw/api_football/fixture_lineups/2026-04-29/fixture_1208516_lineups.json
1208516,534,Las Palmas,4-1-4-1,49,Luis Carrión,182694,Iván Gil,21,M,,False,2026-05-04,raw/api_football/fixture_lineups/2026-04-29/fixture_1208516_lineups.json
1208516,534,Las Palmas,4-1-4-1,49,Luis Carrión,453885,A. Bassinga,26,M,,False,2026-05-04,raw/api_football/fixture_lineups/2026-04-29/fixture_1208516_lineups.json
1208516,541,Real Madrid,4-2-3-1,2407,C. Ancelotti,730,T. Courtois,1,G,1:1,True,2026-05-04,raw/api_football/fixture_lineups/2026-04-29/fixture_1208516_lineups.json
1208516,541,Real Madrid,4-2-3-1,2407,C. Ancelotti,757,Lucas Vázquez,17,D,2:4,True,2026-05-04,raw/api_football/fixture_lineups/2026-04-29/fixture_1208516_lineups.json
1208516,541,Real Madrid,4-2-3-1,2407,C. Ancelotti,372,Éder Militão,3,D,2:3,True,2026-05-04,raw/api_football/fixture_lineups/2026-04-29/fixture_1208516_lineups.json
1208516,541,Real Madrid,4-2-3-1,2407,C. Ancelotti,2285,A. Rüdiger,22,D,2:2,True,2026-05-04,raw/api_football/fixture_lineups/2026-04-29/fixture_1208516_lineups.json
1208516,541,Real Madrid,4-2-3-1,2407,C. Ancelotti,653,F. Mendy,23,D,2:1,True,2026-05-04,raw/api_football/fixture_lineups/2026-04-29/fixture_1208516_lineups.json
1208516,541,Real Madrid,4-2-3-1,2407,C. Ancelotti,756,F. Valverde,8,M,3:2,True,2026-05-04,raw/api_football/fixture_lineups/2026-04-29/fixture_1208516_lineups.json
1208516,541,Real Madrid,4-2-3-1,2407,C. Ancelotti,1271,A. Tchouaméni,14,M,3:1,True,2026-05-04,raw/api_football/fixture_lineups/2026-04-29/fixture_1208516_lineups.json
1208516,541,Real Madrid,4-2-3-1,2407,C. Ancelotti,744,Brahim Díaz,21,M,4:3,True,2026-05-04,raw/api_football/fixture_lineups/2026-04-29/fixture_1208516_lineups.json
