fixture_id,team_id,team_name,player_id,player_name,minutes,number,position,rating,captain,substitute,offsides,shots_total,shots_on,goals_total,goals_conceded,goals_assists,goals_saves,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,fouls_committed,cards_yellow,cards_red,penalty_won,penalty_committed,penalty_scored,penalty_missed,penalty_saved,ingestion_date,source_file
1208495,547,Girona,1700,Iván Martín,90.0,23,M,6.9,False,False,,,,,0,0.0,,70.0,3.0,62,1.0,,,5.0,2.0,1.0,,1.0,1.0,,0,0,,,0,0,,2026-05-07,raw/api_football/fixture_players/2026-04-30/fixture_1208495_players.json
1208495,547,Girona,2061,Bryan Gil,81.0,20,F,7.7,False,False,,4.0,1.0,,0,0.0,,40.0,2.0,36,4.0,,1.0,20.0,9.0,5.0,3.0,2.0,2.0,1.0,0,0,,,0,0,,2026-05-07,raw/api_football/fixture_players/2026-04-30/fixture_1208495_players.json
1208495,547,Girona,155,Abel Ruíz,81.0,9,F,6.3,False,False,1.0,1.0,,,0,0.0,,15.0,1.0,14,,1.0,1.0,5.0,1.0,,,1.0,1.0,1.0,0,0,,,0,0,,2026-05-07,raw/api_football/fixture_players/2026-04-30/fixture_1208495_players.json
1208495,547,Girona,47520,Portu,66.0,24,F,6.9,False,False,1.0,,,,0,0.0,,23.0,1.0,19,,,,2.0,2.0,,,,2.0,,0,0,,,0,0,,2026-05-07,raw/api_football/fixture_players/2026-04-30/fixture_1208495_players.json
1208495,547,Girona,306727,Jhon Solís,24.0,22,M,6.7,False,True,,,,,0,0.0,,19.0,,18,,,,2.0,,1.0,,,,,0,0,,,0,0,,2026-05-07,raw/api_football/fixture_players/2026-04-30/fixture_1208495_players.json
1208495,547,Girona,389602,Iker Almena,24.0,30,F,7.2,False,True,,1.0,,,0,1.0,,8.0,1.0,6,,,,3.0,2.0,1.0,1.0,1.0,1.0,,0,0,,,0,0,,2026-05-07,raw/api_football/fixture_players/2026-04-30/fixture_1208495_players.json
1208495,547,Girona,336674,Gabriel Misehouy,20.0,27,M,7.3,False,True,,1.0,1.0,1.0,0,0.0,,6.0,1.0,6,,,,,,,,,,,0,0,,,0,0,,2026-05-07,raw/api_football/fixture_players/2026-04-30/fixture_1208495_players.json
1208495,547,Girona,66407,Ladislav Krejčí,9.0,18,D,6.7,False,True,,,,,0,0.0,,11.0,,11,,,,,,,,,,,0,0,,,0,0,,2026-05-07,raw/api_football/fixture_players/2026-04-30/fixture_1208495_players.json
1208495,547,Girona,2617,Cristhian Stuani,9.0,7,F,6.7,False,True,,,,,0,0.0,,1.0,,1,,,,1.0,,,,,,,0,0,,,0,0,,2026-05-07,raw/api_football/fixture_players/2026-04-30/fixture_1208495_players.json
1208495,547,Girona,47153,Juan Carlos,,1,G,,False,True,,,,,0,,,,,,,,,,,,,,,,0,0,,,0,0,,2026-05-07,raw/api_football/fixture_players/2026-04-30/fixture_1208495_players.json
1208495,547,Girona,162434,Alejandro Francés,,16,D,,False,True,,,,,0,,,,,,,,,,,,,,,,0,0,,,0,0,,2026-05-07,raw/api_football/fixture_players/2026-04-30/fixture_1208495_players.json
1208495,547,Girona,47511,Juanpe,,15,D,,False,True,,,,,0,,,,,,,,,,,,,,,,0,0,,,0,0,,2026-05-07,raw/api_football/fixture_players/2026-04-30/fixture_1208495_players.json
1208495,547,Girona,47492,Toni Villa,,19,M,,False,True,,,,,0,,,,,,,,,,,,,,,,0,0,,,0,0,,2026-05-07,raw/api_football/fixture_players/2026-04-30/fixture_1208495_players.json
1208495,547,Girona,547,Donny van de Beek,,6,M,,False,True,,,,,0,,,,,,,,,,,,,,,,0,0,,,0,0,,2026-05-07,raw/api_football/fixture_players/2026-04-30/fixture_1208495_players.json
1208495,547,Girona,339105,Joel Roca,,33,M,,False,True,,,,,0,,,,,,,,,,,,,,,,0,0,,,0,0,,2026-05-07,raw/api_football/fixture_players/2026-04-30/fixture_1208495_players.json
1208496,798,Mallorca,61142,Dominik Greif,90.0,1,G,7.3,False,False,,,,,1,0.0,5.0,15.0,,6,,,,,,,,,,,0,0,,,0,0,0.0,2026-05-07,raw/api_football/fixture_players/2026-04-30/fixture_1208496_players.json
1208496,798,Mallorca,26302,Pablo Maffeo,90.0,23,D,6.3,False,False,,,,,0,0.0,,22.0,2.0,17,5.0,,1.0,13.0,5.0,2.0,,2.0,,2.0,1,0,,,0,0,,2026-05-07,raw/api_football/fixture_players/2026-04-30/fixture_1208496_players.json
1208496,798,Mallorca,46738,Martin Valjent,90.0,24,D,6.7,False,False,,,,,0,0.0,,17.0,,14,,,,,,,,,,,0,0,,,0,0,,2026-05-07,raw/api_football/fixture_players/2026-04-30/fixture_1208496_players.json
1208496,798,Mallorca,46733,Antonio Raíllo,90.0,21,D,7.2,True,False,,,,,0,0.0,,40.0,,39,,2.0,,2.0,2.0,,,,,,0,0,,,0,0,,2026-05-07,raw/api_football/fixture_players/2026-04-30/fixture_1208496_players.json
1208496,798,Mallorca,64268,Johan Mojica,90.0,22,D,7.2,False,False,,1.0,,,0,0.0,,45.0,2.0,38,1.0,,3.0,10.0,7.0,6.0,4.0,1.0,2.0,,0,0,,,0,0,,2026-05-07,raw/api_football/fixture_players/2026-04-30/fixture_1208496_players.json
1208496,798,Mallorca,47336,Sergi Darder,72.0,10,M,6.9,False,False,,,,,0,0.0,,25.0,,21,,,1.0,1.0,1.0,,,,1.0,,0,0,,,0,0,,2026-05-07,raw/api_football/fixture_players/2026-04-30/fixture_1208496_players.json
1208496,798,Mallorca,414,Omar Mascarell,89.0,5,M,6.6,False,False,,,,,0,0.0,,44.0,,41,1.0,,3.0,5.0,1.0,,,1.0,,1.0,0,0,,,0,0,,2026-05-07,raw/api_football/fixture_players/2026-04-30/fixture_1208496_players.json
1208496,798,Mallorca,190485,Samuel Costa,90.0,12,M,6.6,False,False,,2.0,1.0,,0,0.0,,39.0,1.0,36,7.0,,,25.0,9.0,2.0,,5.0,,7.0,0,0,,,0,0,,2026-05-07,raw/api_football/fixture_players/2026-04-30/fixture_1208496_players.json
1208496,798,Mallorca,25375,Takuma Asano,72.0,11,F,7,False,False,,1.0,1.0,,0,0.0,,10.0,,7,3.0,,1.0,9.0,5.0,1.0,1.0,1.0,1.0,,0,0,,,0,0,,2026-05-07,raw/api_football/fixture_players/2026-04-30/fixture_1208496_players.json
1208496,798,Mallorca,50048,Vedat Muriqi,90.0,7,F,7.2,False,False,,3.0,3.0,1.0,0,0.0,,18.0,1.0,14,,,,17.0,7.0,3.0,,,1.0,,0,0,,,0,0,,2026-05-07,raw/api_football/fixture_players/2026-04-30/fixture_1208496_players.json
1208496,798,Mallorca,46742,Dani Rodríguez,67.0,14,F,7.3,False,False,,2.0,,,0,1.0,,23.0,1.0,17,,,,1.0,1.0,,,,1.0,,0,0,,,0,0,,2026-05-07,raw/api_football/fixture_players/2026-04-30/fixture_1208496_players.json
1208496,798,Mallorca,107194,Antonio Sánchez,23.0,18,M,6.9,False,True,,2.0,,,0,0.0,,4.0,,,,,2.0,1.0,,,,,,1.0,0,0,,,0,0,,2026-05-07,raw/api_football/fixture_players/2026-04-30/fixture_1208496_players.json
1208496,798,Mallorca,1701,Manu Morlanes,18.0,8,M,6.9,False,True,,,,,0,0.0,,10.0,,10,,1.0,2.0,,,,,,,,0,0,,,0,0,,2026-05-07,raw/api_football/fixture_players/2026-04-30/fixture_1208496_players.json
1208496,798,Mallorca,2001,Cyle Larin,18.0,17,F,6.7,False,True,,,,,0,0.0,,10.0,,7,,,1.0,2.0,1.0,1.0,1.0,1.0,,,0,0,,,0,0,,2026-05-07,raw/api_football/fixture_players/2026-04-30/fixture_1208496_players.json
1208496,798,Mallorca,181582,José Copete,1.0,6,D,,False,True,,,,,0,0.0,,,,,1.0,,,1.0,1.0,,,,,,0,0,,,0,0,,2026-05-07,raw/api_football/fixture_players/2026-04-30/fixture_1208496_players.json
1208496,798,Mallorca,179139,Leo Román,,13,G,,False,True,,,,,0,,,,,,,,,,,,,,,,0,0,,,0,0,,2026-05-07,raw/api_football/fixture_players/2026-04-30/fixture_1208496_players.json
1208496,798,Mallorca,47399,Iván Cuéllar,,25,G,,False,True,,,,,0,,,,,,,,,,,,,,,,0,0,,,0,0,,2026-05-07,raw/api_football/fixture_players/2026-04-30/fixture_1208496_players.json
1208496,798,Mallorca,920,Toni Lato,,3,D,,False,True,,,,,0,,,,,,,,,,,,,,,,0,0,,,0,0,,2026-05-07,raw/api_football/fixture_players/2026-04-30/fixture_1208496_players.json
1208496,798,Mallorca,37639,Siebe Van Der Heyden,,4,D,,False,True,,,,,0,,,,,,,,,,,,,,,,0,0,,,0,0,,2026-05-07,raw/api_football/fixture_players/2026-04-30/fixture_1208496_players.json
1208496,798,Mallorca,108519,Mateu Morey,,2,D,,False,True,,,,,0,,,,,,,,,,,,,,,,0,0,,,0,0,,2026-05-07,raw/api_football/fixture_players/2026-04-30/fixture_1208496_players.json
1208496,798,Mallorca,297646,Daniel Luna,,33,M,,False,True,,,,,0,,,,,,,,,,,,,,,,0,0,,,0,0,,2026-05-07,raw/api_football/fixture_players/2026-04-30/fixture_1208496_players.json
1208496,798,Mallorca,482473,Marc Domenech,,30,F,,False,True,,,,,0,,,,,,,,,,,,,,,,0,0,,,0,0,,2026-05-07,raw/api_football/fixture_players/2026-04-30/fixture_1208496_players.json
1208496,798,Mallorca,46751,Abdón Prats,,9,F,,False,True,,,,,0,,,,,,,,,,,,,,,,0,0,,,0,0,,2026-05-07,raw/api_football/fixture_players/2026-04-30/fixture_1208496_players.json
1208496,541,Real Madrid,730,Thibaut Courtois,90.0,1,G,7.5,False,False,,,,,1,0.0,4.0,23.0,,21,,,,,,,,,,,0,0,,,0,0,0.0,2026-05-07,raw/api_football/fixture_players/2026-04-30/fixture_1208496_players.json
1208496,541,Real Madrid,733,Daniel Carvajal,87.0,2,D,6.7,True,False,,,,,0,0.0,,51.0,,44,,,2.0,1.0,,,,,,1.0,0,0,,,0,0,,2026-05-07,raw/api_football/fixture_players/2026-04-30/fixture_1208496_players.json
1208496,541,Real Madrid,372,Éder Militão,90.0,3,D,6.6,False,False,,,,,0,0.0,,60.0,,58,2.0,,,11.0,4.0,,,3.0,,,0,0,,,0,0,,2026-05-07,raw/api_football/fixture_players/2026-04-30/fixture_1208496_players.json
1208496,541,Real Madrid,2285,Antonio Rüdiger,90.0,22,D,7,False,False,,1.0,,,0,0.0,,72.0,,64,,1.0,1.0,9.0,6.0,1.0,1.0,1.0,1.0,,0,0,,,0,0,,2026-05-07,raw/api_football/fixture_players/2026-04-30/fixture_1208496_players.json
1208496,541,Real Madrid,653,Ferland Mendy,90.0,23,D,6.9,False,False,,,,,0,0.0,,65.0,,64,1.0,,,5.0,3.0,,,,1.0,2.0,0,1,,,0,0,,2026-05-07,raw/api_football/fixture_players/2026-04-30/fixture_1208496_players.json
1208496,541,Real Madrid,756,Federico Valverde,90.0,8,M,7,False,False,,,,,0,0.0,,77.0,1.0,68,1.0,,1.0,4.0,4.0,,,,1.0,,0,0,,,0,0,,2026-05-07,raw/api_football/fixture_players/2026-04-30/fixture_1208496_players.json
