fixture_id,team_id,team_name,stat_type,stat_value,ingestion_date,source_file
1208521,530,Atletico Madrid,Offsides,2,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208521_statistics.json
1208521,530,Atletico Madrid,Ball Possession,47%,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208521_statistics.json
1208521,530,Atletico Madrid,Yellow Cards,1,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208521_statistics.json
1208521,530,Atletico Madrid,Red Cards,,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208521_statistics.json
1208521,530,Atletico Madrid,Goalkeeper Saves,1,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208521_statistics.json
1208521,530,Atletico Madrid,Total passes,524,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208521_statistics.json
1208521,530,Atletico Madrid,Passes accurate,439,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208521_statistics.json
1208521,530,Atletico Madrid,Passes %,84%,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208521_statistics.json
1208521,530,Atletico Madrid,expected_goals,1.73,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208521_statistics.json
1208521,530,Atletico Madrid,goals_prevented,0,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208521_statistics.json
1208522,529,Barcelona,Shots on Goal,11,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208522_statistics.json
1208522,529,Barcelona,Shots off Goal,7,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208522_statistics.json
1208522,529,Barcelona,Total Shots,23,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208522_statistics.json
1208522,529,Barcelona,Blocked Shots,5,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208522_statistics.json
1208522,529,Barcelona,Shots insidebox,17,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208522_statistics.json
1208522,529,Barcelona,Shots outsidebox,6,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208522_statistics.json
1208522,529,Barcelona,Fouls,6,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208522_statistics.json
1208522,529,Barcelona,Corner Kicks,10,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208522_statistics.json
1208522,529,Barcelona,Offsides,4,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208522_statistics.json
1208522,529,Barcelona,Ball Possession,71%,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208522_statistics.json
1208522,529,Barcelona,Yellow Cards,0,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208522_statistics.json
1208522,529,Barcelona,Red Cards,,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208522_statistics.json
1208522,529,Barcelona,Goalkeeper Saves,1,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208522_statistics.json
1208522,529,Barcelona,Total passes,595,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208522_statistics.json
1208522,529,Barcelona,Passes accurate,545,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208522_statistics.json
1208522,529,Barcelona,Passes %,92%,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208522_statistics.json
1208522,529,Barcelona,expected_goals,3.84,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208522_statistics.json
1208522,529,Barcelona,goals_prevented,0,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208522_statistics.json
1208522,720,Valladolid,Shots on Goal,1,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208522_statistics.json
1208522,720,Valladolid,Shots off Goal,2,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208522_statistics.json
1208522,720,Valladolid,Total Shots,4,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208522_statistics.json
1208522,720,Valladolid,Blocked Shots,1,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208522_statistics.json
1208522,720,Valladolid,Shots insidebox,2,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208522_statistics.json
1208522,720,Valladolid,Shots outsidebox,2,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208522_statistics.json
1208522,720,Valladolid,Fouls,12,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208522_statistics.json
1208522,720,Valladolid,Corner Kicks,1,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208522_statistics.json
1208522,720,Valladolid,Offsides,4,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208522_statistics.json
1208522,720,Valladolid,Ball Possession,29%,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208522_statistics.json
1208522,720,Valladolid,Yellow Cards,3,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208522_statistics.json
1208522,720,Valladolid,Red Cards,,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208522_statistics.json
1208522,720,Valladolid,Goalkeeper Saves,4,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208522_statistics.json
1208522,720,Valladolid,Total passes,247,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208522_statistics.json
1208522,720,Valladolid,Passes accurate,197,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208522_statistics.json
1208522,720,Valladolid,Passes %,80%,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208522_statistics.json
1208522,720,Valladolid,expected_goals,0.43,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208522_statistics.json
1208522,720,Valladolid,goals_prevented,0,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208522_statistics.json
1208523,546,Getafe,Shots on Goal,1,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208523_statistics.json
1208523,546,Getafe,Shots off Goal,7,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208523_statistics.json
1208523,546,Getafe,Total Shots,16,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208523_statistics.json
1208523,546,Getafe,Blocked Shots,8,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208523_statistics.json
1208523,546,Getafe,Shots insidebox,4,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208523_statistics.json
1208523,546,Getafe,Shots outsidebox,12,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208523_statistics.json
1208523,546,Getafe,Fouls,14,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208523_statistics.json
1208523,546,Getafe,Corner Kicks,4,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208523_statistics.json
1208523,546,Getafe,Offsides,2,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208523_statistics.json
1208523,546,Getafe,Ball Possession,53%,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208523_statistics.json
1208523,546,Getafe,Yellow Cards,1,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208523_statistics.json
1208523,546,Getafe,Red Cards,,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208523_statistics.json
1208523,546,Getafe,Goalkeeper Saves,0,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208523_statistics.json
1208523,546,Getafe,Total passes,340,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208523_statistics.json
1208523,546,Getafe,Passes accurate,229,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208523_statistics.json
1208523,546,Getafe,Passes %,67%,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208523_statistics.json
1208523,546,Getafe,expected_goals,0.57,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208523_statistics.json
1208523,546,Getafe,goals_prevented,0,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208523_statistics.json
1208523,548,Real Sociedad,Shots on Goal,0,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208523_statistics.json
1208523,548,Real Sociedad,Shots off Goal,0,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208523_statistics.json
1208523,548,Real Sociedad,Total Shots,1,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208523_statistics.json
1208523,548,Real Sociedad,Blocked Shots,1,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208523_statistics.json
1208523,548,Real Sociedad,Shots insidebox,0,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208523_statistics.json
1208523,548,Real Sociedad,Shots outsidebox,1,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208523_statistics.json
1208523,548,Real Sociedad,Fouls,16,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208523_statistics.json
1208523,548,Real Sociedad,Corner Kicks,1,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208523_statistics.json
1208523,548,Real Sociedad,Offsides,1,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208523_statistics.json
1208523,548,Real Sociedad,Ball Possession,47%,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208523_statistics.json
1208523,548,Real Sociedad,Yellow Cards,1,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208523_statistics.json
1208523,548,Real Sociedad,Red Cards,,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208523_statistics.json
1208523,548,Real Sociedad,Goalkeeper Saves,1,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208523_statistics.json
1208523,548,Real Sociedad,Total passes,314,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208523_statistics.json
1208523,548,Real Sociedad,Passes accurate,210,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208523_statistics.json
1208523,548,Real Sociedad,Passes %,67%,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208523_statistics.json
